rank,since,firstName,mI,lastName,age,title
1,02/04/2016,Gurdeep,,Singh,58,"{'startYear': '2016', 'startMonth': '2', 'startDay': '4', 'iD1': 'CHM', 'abbr1': 'Chmn.', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Executive Chairman of the Board, Managing Director'}"
2,07/21/2022,Jaikumar,,Srinivasan,,"{'startYear': '2022', 'startMonth': '7', 'startDay': '29', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': 'FID', 'abbr2': 'Fin. Dir.', 'Value': 'Chief Financial Officer, Director (Finance), Executive Director'}"
3,01/29/2024,Ritu,,Arora,47,"{'startYear': '2024', 'startMonth': '1', 'startDay': '29', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Compliance Officer, Company Secretary'}"
4,2023,Shanmugha,Sundaram,Kothandapani,57,"{'startYear': '2023', 'startMonth': '12', 'startDay': '1', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director, Director (Projects)'}"
5,02/26/2024,Ravindra,,Kumar,,"{'startYear': '2024', 'startMonth': '2', 'startDay': '26', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director, Director (Operations)'}"
6,04/30/2023,Shivam,,Srivastava,,"{'startYear': '2023', 'startMonth': '4', 'startDay': '30', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director, Director (Fuel)'}"
7,08/23/2024,Anil,Kumar,Jadli,55,"{'startYear': '2024', 'startMonth': '8', 'startDay': '23', 'iD1': 'DHR', 'abbr1': 'Dir.-HR', 'iD2': '', 'abbr2': '', 'Value': 'Director of Human Resources'}"
8,03/01/2024,Shaswattam,,..,,"{'startYear': '2025', 'startMonth': '3', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - R&D'}"
9,03/01/2025,Rajeev,,',,"{'startYear': '2025', 'startMonth': '3', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Renewable Energy'}"
10,03/03/2025,Rajeev,,Akotkar,,"{'startYear': '2025', 'startMonth': '3', 'startDay': '3', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Senior Management'}"
