Date,Volume,Delivery (%)
2024-06-06,34005610,41.0
2024-06-07,25832120,55.0
2024-06-10,16934582,50.0
2024-06-11,11554756,48.0
2024-06-12,12777315,61.0
2024-06-13,11784230,57.0
2024-06-14,10900169,51.0
2024-06-18,10516515,67.0
2024-06-19,8863307,58.0
2024-06-20,14582482,61.0
2024-06-21,19391738,38.0
2024-06-24,10061412,58.0
2024-06-25,15404172,65.0
2024-06-26,16306234,59.0
2024-06-27,56077583,
2024-06-28,26260740,45.0
2024-07-01,24294057,59.0
2024-07-02,14273846,53.0
2024-07-03,9435782,58.0
2024-07-04,15388874,53.0
2024-07-05,16942046,40.0
2024-07-08,9486359,57.0
2024-07-09,8804047,63.0
2024-07-10,18223334,43.0
2024-07-11,20591463,57.0
2024-07-12,17467889,47.0
2024-07-15,25593705,54.0
2024-07-16,12483706,59.0
2024-07-18,17035802,57.0
2024-07-19,15076552,58.0
2024-07-22,19603588,50.0
2024-07-23,52128443,41.0
2024-07-24,38740156,52.0
2024-07-25,27824307,51.0
2024-07-26,21565911,50.0
2024-07-29,29112431,43.0
2024-07-30,35470254,36.0
2024-07-31,30502876,56.0
2024-08-01,29963989,58.0
2024-08-02,25377492,47.0
2024-08-05,45582922,66.0
2024-08-06,18969205,53.0
2024-08-07,17271799,63.0
2024-08-08,16986631,60.0
2024-08-09,11669294,52.0
2024-08-12,27231486,62.0
2024-08-13,11666589,56.0
2024-08-14,9587001,51.0
2024-08-16,14518280,54.0
2024-08-19,11816897,53.0
2024-08-20,10740275,52.0
2024-08-21,10128914,59.0
2024-08-22,10599074,59.0
2024-08-23,12200907,56.0
2024-08-26,14690765,43.0
2024-08-27,8928060,55.0
2024-08-28,16847116,67.0
2024-08-29,19583941,58.0
2024-08-30,23524813,59.0
2024-09-02,11641322,48.0
2024-09-03,7897441,67.0
2024-09-04,15165735,63.0
2024-09-05,15162041,68.0
2024-09-06,18952657,52.0
2024-09-09,12847953,57.0
2024-09-10,16619411,55.0
2024-09-11,12300415,55.0
2024-09-12,24945030,55.0
2024-09-13,13134748,52.0
2024-09-16,11843305,42.0
2024-09-17,14851911,46.0
2024-09-18,10777710,37.0
2024-09-19,61560124,35.0
2024-09-20,38499968,43.0
2024-09-23,15009767,43.0
2024-09-24,13011156,57.0
2024-09-25,20115644,43.0
2024-09-26,20793859,51.0
2024-09-27,54839274,67.0
2024-09-30,22153152,43.0
2024-10-01,16404404,54.0
