CalendarMonth,CalendarYear,FiscalYear,ActualReportDate,Type,CurrencyCode,Reported,ReportedDate,SurprisePercent,SurpriseMean,SUE,NumEstimates,Mean,High,Low,Median,StandardDeviation,SmartEstimate
3,2024,2024,2024-05-24T10:09:00,Actual,INR,21.46,2024-05-24T10:09:00,8.79,19.73,1.18,12,,,,,,
3,2025,2025,2025-05-24T16:56:00,Actual,INR,20.34,2025-05-24T16:56:00,-7.27,21.93,-1.26,16,,,,,,
3,2026,2026,,Estimate,INR,,,,,,17,24.0,27.0,21.0,24.0,1.0,23.0
3,2027,2027,,Estimate,INR,,,,,,16,26.0,29.0,22.0,26.0,2.0,25.0
3,2028,2028,,Estimate,INR,,,,,,5,26.0,31.0,23.0,26.0,2.0,26.0
