displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Revenue ,Revenue,16300.55,,,2023,Annual
Total Revenue ,TotalRevenue,16300.55,,,2023,Annual
Costof Revenue Total ,CostofRevenueTotal,9641.63,,,2023,Annual
Gross Profit ,GrossProfit,6658.92,,,2023,Annual
Selling/ General/ Admin Expenses Total ,Selling/General/AdminExpensesTotal,3296.82,,,2023,Annual
Depreciation/ Amortization ,Depreciation/Amortization,225.22,,,2023,Annual
Interest Exp( Inc) Net- Operating Total ,InterestExp(Inc)Net-OperatingTotal,0.69,,,2023,Annual
Unusual Expense( Income) ,UnusualExpense(Income),-375.60,,,2023,Annual
Other Operating Expenses Total ,OtherOperatingExpensesTotal,531.19,,,2023,Annual
Total Operating Expense ,TotalOperatingExpense,13319.95,,,2023,Annual
Operating Income ,OperatingIncome,2980.60,,,2023,Annual
Interest Inc( Exp) Net- Non- Op Total ,InterestInc(Exp)Net-Non-OpTotal,48.54,,,2023,Annual
Gain( Loss)on Saleof Assets ,Gain(Loss)onSaleofAssets,0.83,,,2023,Annual
Other Net ,OtherNet,2.80,,,2023,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,3032.77,,,2023,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,716.45,,,2023,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,2316.32,,,2023,Annual
Minority Interest ,MinorityInterest,5.45,,,2023,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,2321.77,,,2023,Annual
Net Income ,NetIncome,2321.77,,,2023,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,2321.77,,,2023,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,2321.77,,,2023,Annual
Diluted Net Income ,DilutedNetIncome,2321.77,,,2023,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,24.09,,,2023,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,96.39,,,2023,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,72.00,,,2023,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,84.46,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
