displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash ,Cash,132.78,,,2025,Annual
Cash Equivalents ,CashEquivalents,179.70,,,2025,Annual
Short Term Investments ,ShortTermInvestments,1742.10,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,2054.58,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,448.61,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,498.61,,,2025,Annual
Total Inventory ,TotalInventory,1236.51,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,123.98,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,3913.68,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,2823.81,,,2025,Annual
Goodwill Net ,GoodwillNet,132.78,,,2025,Annual
Intangibles Net ,IntangiblesNet,7.51,,,2025,Annual
Long Term Investments ,LongTermInvestments,1810.88,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,71.26,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,78.63,,,2025,Annual
Total Assets ,TotalAssets,8838.55,,,2025,Annual
Accounts Payable ,AccountsPayable,1752.23,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,514.12,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,1351.91,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,3618.26,,,2025,Annual
Long Term Debt ,LongTermDebt,712.94,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,19.45,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,732.39,,,2025,Annual
Total Debt ,TotalDebt,1246.51,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,1.80,,,2025,Annual
Minority Interest ,MinorityInterest,25.60,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,104.78,,,2025,Annual
Total Liabilities ,TotalLiabilities,4482.83,,,2025,Annual
Common Stock Total ,CommonStockTotal,24.09,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),4331.63,,,2025,Annual
Total Equity ,TotalEquity,4355.72,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,8838.55,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,24.09,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,175.01,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
