fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Kotak Equity Arbitrage Fund Growth,37.31,0.03,63309.51,0.41,1.76,3.42,6.89,7.02,5.69,4
Invesco India Arbitrage Fund Growth,31.76,0.03,20029.39,0.4,1.7,3.33,6.76,7.01,5.65,2
SBI Arbitrage Opportunities Fund Regular Growth,33.65,0.04,31895.02,0.45,1.8,3.41,6.8,6.99,5.58,3
ICICI Prudential Equity Arbitrage Fund Regular Growth,34.16,0.03,26917.8,0.43,1.81,3.43,6.89,6.85,5.5,3
HDFC Arbitrage Fund Wholesale Plan Growth,30.5,0.04,19627.2,0.38,1.69,3.31,6.77,6.85,5.44,4
