fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Franklin India Technology Fund Growth,504.72,1.43,1758.87,6.4,5.8,-8.48,15.07,19.91,24.76,
Tata Nifty India Digital ETF Fund of Fund Regular Growth,14.15,1.39,111.66,4.45,9.07,-9.9,15.48,16.54,,
SBI Technology Opportunities Fund Regular Growth,212.73,0.93,4224.88,7.1,6.52,-5.19,26.3,16.3,26.62,
Tata Digital India Fund Regular Growth,47.32,0.64,11037.44,5.44,3.65,-13.98,17.76,13.51,27.47,
Aditya Birla Sun Life Digital India Fund Growth,168.86,0.98,4540.25,6.34,5.85,-11.29,15.66,12.93,26.43,
