fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Edelweiss Banking and PSU Debt Fund Regular Plan Growth,24.8,0.06,266.48,1.26,4.28,5.34,10.4,8.19,6.59,4
ICICI Prudential Banking and PSU Debt Fund Growth,32.79,-0.01,10446.99,1.01,3.51,5.0,9.43,7.88,6.72,4
Kotak Banking and PSU Debt Growth,65.71,0.01,6012.83,1.16,4.02,5.22,10.06,7.86,6.6,4
DSP Banking & PSU Debt Fund Regular Growth,24.24,0.02,3666.32,0.98,4.41,5.19,10.36,7.81,6.3,4
Nippon India Banking & PSU Debt Fund Regular Growth,20.87,0.0,5851.76,1.18,4.2,5.39,10.09,7.73,6.45,3
