fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
SBI Magnum Children's Benefit Fund- Investment Plan Regular Growth,40.5,0.17,3358.06,3.96,9.97,-1.89,20.59,21.2,,
ICICI Prudential Child Care Fund (Gift Plan),321.06,0.82,1299.79,4.23,13.77,0.68,12.38,19.59,20.58,3.0
HDFC Childrens Fund,293.4,0.44,9809.7,3.26,11.05,-1.06,11.34,17.61,21.61,5.0
HDFC Childrens Fund(Lock-in),293.4,0.44,9809.7,3.26,11.05,-1.06,11.34,17.61,21.61,5.0
Tata Young Citizen [After 7 years],61.38,0.36,354.16,3.63,14.05,-1.47,12.05,16.41,21.45,3.0
