fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
SBI Contra Fund Regular Growth,377.24,0.36,44068.57,2.28,10.78,-2.51,11.18,23.9,34.21,2
Kotak India EQ Contra Fund Growth,147.13,0.32,4071.92,4.78,14.35,-2.94,11.89,23.34,26.3,4
Invesco India Contra Fund Growth,133.15,0.7,18046.02,3.48,13.26,-3.54,17.73,22.44,24.98,5
