fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
DSP Credit Risk Fund Regular Growth,49.6,0.04,207.33,1.6,11.58,18.5,23.46,14.82,11.66,5
HSBC Credit Risk Fund Regular Plan Growth,32.29,0.04,669.62,0.88,15.73,17.29,21.95,11.29,9.48,4
Aditya Birla Sun Life Credit Risk Fund Regular Plan Growth,22.28,0.04,985.28,1.19,3.61,8.68,17.82,11.23,9.81,5
Invesco India Credit Risk Fund Regular Growth,1937.22,0.05,146.56,0.99,5.06,6.87,11.09,9.45,6.94,2
Nippon India Credit Risk Fund Institutional Growth,36.43,0.05,999.57,0.97,3.34,5.12,9.81,8.3,9.08,3
