fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
HDFC Infrastructure Fund Growth,47.6,0.54,2392.5,6.65,19.27,-1.34,11.29,33.16,36.53,3
ICICI Prudential Infrastructure Fund Growth,194.7,0.43,7415.53,7.35,17.63,0.5,14.59,32.38,38.68,5
Bandhan Infrastructure Fund Growth,50.51,0.34,1577.17,7.69,22.4,-6.44,7.16,31.93,35.87,3
Franklin Build India Fund Growth,139.6,0.51,2725.6,5.12,16.85,-3.45,9.19,31.23,34.14,4
LIC MF Infrastructure Fund Growth,49.61,0.43,886.7,13.6,24.24,-5.03,16.08,31.05,33.92,3
