fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
HSBC Equity Savings Growth,32.54,0.27,648.51,2.51,6.31,-3.22,9.66,12.73,14.77,4
Sundaram Equity Savings Fund Growth,70.19,0.29,1003.54,1.82,6.29,2.84,11.54,12.33,14.35,4
Mirae Asset Equity Savings Fund Regular Growth,20.06,0.25,1402.45,1.98,7.84,3.07,12.02,11.92,13.85,4
Invesco India Equity Savings Fund Regular Growth,16.97,0.26,404.34,2.67,7.0,0.96,11.21,11.82,10.39,2
SBI Equity Savings Regular Growth,23.73,0.22,5443.35,2.23,7.83,1.72,10.57,11.81,13.2,3
