fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
SBI Fixed Maturity Plan Series 34 3682 Days Regular Growth,13.98,-0.15,28.0,1.56,4.87,6.42,11.84,9.34,6.68,
ICICI Prudential Fixed Maturity Plan 85 10 Years I Regular Cumulative,16.85,-0.05,458.82,1.43,4.25,6.01,11.34,9.16,6.83,
Bandhan Fixed Term Plan Series 179 Regular Growth,16.84,-0.07,334.47,1.5,4.29,5.99,11.4,9.1,6.77,
Nippon India Interval Fund Annual Interval Fund Series-I- Growth,26.79,0.02,2.98,0.57,1.74,3.44,7.2,6.79,5.61,
Nippon India Interval Fund Annual Interval Fund Series-I- Retail - Growth,35.96,0.02,2.98,0.57,1.71,3.35,7.0,6.62,5.52,
