fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
JM Flexicap Fund Growth,96.5,0.36,5625.21,2.36,10.62,-9.25,7.3,25.72,27.05,4
HDFC Flexi Cap Fund Growth,1942.88,0.32,74105.46,1.06,11.81,1.75,17.68,24.7,30.04,5
Motilal Oswal Flexicap Fund Regular Plan Growth,60.1,0.83,12418.46,4.44,11.23,-5.42,22.79,24.56,21.93,3
Invesco India Flexi Cap Fund Regular Growth,18.6,1.14,2753.0,5.45,16.25,-3.82,19.49,24.45,,4
Bank of India Flexi Cap Fund Regular Growth,34.29,0.7,1981.91,7.96,17.9,-7.42,9.49,23.7,,3
