fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
SBI Fixed Maturity Plan Series 1 3668 Days Regular Growth,16.55,-0.03,48.7,1.46,4.33,6.02,11.59,9.17,6.84,
Nippon India Fixed Horizon Fund XLI Series 8 Regular Growth,16.47,-0.07,64.19,1.53,4.28,5.96,11.35,9.03,6.67,
SBI Fixed Maturity Plan Series 6 3668 Days Regular Growth,16.08,-0.02,35.23,1.41,4.25,5.91,11.32,8.97,6.63,
Nippon India Fixed Horizon Fund XLIII Series 5 Regular Growth,12.65,-0.01,173.57,1.21,3.87,5.63,10.9,8.87,,
SBI Fixed Maturity Plan (FMP) - Series 61 (1927 Days) Regular Growth,12.4,0.03,336.87,1.09,3.29,4.93,9.72,8.3,,
