fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
ICICI Prudential Savings Fund Growth,542.39,0.02,22637.82,0.84,2.65,4.32,8.49,7.76,6.58,5
HSBC Low Duration Fund Growth,28.62,0.03,509.74,0.79,3.9,5.46,9.42,7.56,6.59,4
UTI - Low Duration Fund - Regular Plan - Growth Option,3540.15,0.03,3270.91,0.82,2.66,4.32,8.4,7.31,7.15,4
Axis Treasury Advantage Retail Growth,2893.95,0.02,6132.9,0.82,2.64,4.29,8.32,7.27,6.11,4
Axis Treasury Advantage Growth,3086.69,0.02,6132.9,0.82,2.63,4.29,8.32,7.27,6.11,4
