fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Bandhan US Treasury Bond 0-1 year Fund of Fund Regular Growth,11.52,-0.2,132.84,2.8,-0.63,3.52,7.63,,,
Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs FoF Regular Growth,11.38,0.76,179.96,1.93,-0.87,3.8,8.53,,,
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF Regular Growth,11.17,0.47,86.44,1.87,-0.7,3.7,8.31,,,
Axis US Treasury Dynamic Bond ETF Fund of Fund Regular Growth,10.71,1.15,58.05,2.62,-1.67,3.06,8.12,,,
DSP US Treasury Fund of Fund Regular Growth,10.94,1.07,61.4,2.59,-1.52,3.16,7.94,,,
