fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
HDFC Balanced Advantage Fund Growth,515.94,0.28,97460.9,2.47,9.88,1.32,11.12,21.53,25.45,5
Baroda BNP Paribas Balanced Advantage Fund Regular Growth,24.26,0.47,4155.29,4.22,12.78,1.14,13.46,16.25,17.15,4
Axis Balanced Advantage Fund Regular Growth,20.86,0.19,2935.36,1.12,7.65,1.17,14.27,15.11,14.22,3
SBI Balanced Advantage Fund Regular Growth,15.29,0.07,34894.57,1.54,8.05,2.85,10.43,14.75,,4
Invesco India Balanced Advantage Fund Growth,53.04,0.45,965.33,1.36,7.4,-1.99,10.58,14.27,13.7,3
