fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Nippon India Large Cap Fund - Growth,89.43,0.51,39677.38,3.27,13.51,0.07,13.88,22.39,26.73,5
DSP Large Cap Fund Regular Plan Growth,469.56,0.21,5610.99,1.28,11.46,1.55,18.64,20.84,21.14,3
Nippon India Nifty Next 50 Junior BeES FoF Regular Growth,24.77,0.36,550.13,4.04,15.32,-7.29,-3.54,20.63,22.2,2
ICICI Prudential Bluechip Fund Growth,108.65,0.5,68033.75,1.45,12.39,0.86,13.85,19.87,23.66,5
Invesco India largecap Fund Growth,68.46,0.63,1423.67,3.22,15.21,-1.88,15.19,18.5,21.23,3
