fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Nippon India Corporate Bond Fund Growth,60.31,0.03,6998.47,1.17,4.18,5.48,10.62,8.28,7.17,4
HDFC Corporate Bond Growth,32.73,0.02,32656.71,1.15,4.08,5.31,10.33,8.28,6.86,4
Aditya Birla Sun Life Corporate Bond Fund Regular Plan Growth,113.52,0.04,25884.32,1.03,3.92,5.27,10.37,8.27,7.06,5
ICICI Prudential Corporate Bond Fund Growth,29.88,0.03,31133.02,0.98,3.51,5.02,9.58,8.1,6.9,4
Baroda BNP Paribas Corporate Bond Fund Growth,31.98,0.02,223.5,1.32,4.46,5.85,10.79,8.0,6.1,2
