ticker,company,price,52_week_high
LLOS.BO,Lloyds Enterprises,70.26,68.1
OIAJ.BO,Osiajee Texfab,235.7,228.4
ADML.BO,Ador Multiproducts,96.94,92.33
LKPM.BO,Lkp Finance,480.0,489.7
RESP.BO,Resonance Specialties,119.0,123.0
LYMT.BO,Lloyds Metals And Energy,1458.2,1534.75
