fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Tata India Consumer Fund Regular Growth,43.53,0.74,2324.86,3.14,10.65,-5.67,14.92,20.98,21.96,
Nippon India Consumption Fund - Growth,195.45,0.49,2380.78,0.94,12.4,-1.99,6.96,20.66,25.09,3.0
Sundaram Consumption Fund Growth,96.57,0.68,1532.37,2.31,11.89,-2.5,14.69,20.47,21.47,3.0
Canara Robeco Consumer Trends Fund Regular Plan Growth,108.94,0.65,1780.48,3.38,13.29,-1.02,13.04,20.35,23.41,
Mirae Asset Great Consumer Regular Growth,90.59,0.7,4117.11,2.48,13.18,-3.61,9.89,19.91,23.42,4.0
