fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Quant Multi Asset Fund Growth,140.3,0.56,3282.0,4.31,12.05,0.74,7.89,21.72,32.35,3.0
Nippon India Multi Asset Active FoF Regular Growth,21.4,0.45,488.4,4.39,12.28,5.92,18.94,21.09,,
UTI Multi Asset Allocation Fund Regular Plan Growth,73.48,0.42,5517.13,1.96,8.89,1.63,11.52,20.36,17.56,1.0
ICICI Prudential Multi-Asset Fund Growth,747.05,0.26,57484.51,1.93,8.32,5.73,15.49,20.11,24.71,4.0
Nippon India Multi Asset Allocation Fund Regular Growth,21.2,0.31,5622.71,3.64,10.13,3.8,16.32,18.18,,
