fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Aditya Birla Sun Life Savings Fund Growth,546.27,0.02,17263.43,0.76,2.39,4.16,8.12,7.31,6.21,5
Aditya Birla Sun Life Savings Fund Fund Retail Growth,528.61,0.02,17263.43,0.76,2.39,4.16,8.12,7.31,6.22,5
Baroda BNP Paribas Ultra Short Duration Fund Regular Growth,1536.45,0.03,1539.38,0.7,2.18,3.91,7.71,7.23,5.79,3
Mirae Asset Ultra Short Duration Fund Regular Growth,1303.09,0.03,1681.12,0.71,2.21,3.98,7.85,7.16,,4
Aditya Birla Sun Life Savings Fund Discipline Advantage Pln Growth,313.59,0.02,17263.43,0.72,2.22,3.92,7.84,7.14,6.11,5
