fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
SBI Magnum Gilt Fund PF Plan Regular Growth,43.05,0.07,11954.06,0.29,5.23,5.36,10.79,8.99,6.56,5
SBI Magnum Gilt Fund PF Plan Fixed Period 3 year Growth,40.22,0.07,11954.06,0.29,5.23,5.36,10.79,8.99,6.56,5
SBI Magnum Gilt Fund Regular Growth,67.06,0.07,11954.06,0.29,5.23,5.36,10.79,8.99,6.56,5
Baroda BNP Paribas Gilt Fund Regular Growth,43.23,0.04,1761.0,0.93,5.12,6.11,11.96,8.97,5.93,3
ICICI Prudential Gilt Fund Growth,103.55,-0.02,7165.83,0.89,4.62,5.74,10.69,8.91,6.61,4
