fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Bank of India Short Term Income Fund Regular Growth,26.78,0.05,125.8,0.93,3.15,4.58,10.66,9.89,10.28,4
ICICI Prudential Short Term Fund Growth,60.19,0.02,20968.84,0.94,3.44,4.89,9.39,8.06,6.88,4
HDFC Short Term Debt Fund Growth,32.09,0.01,15030.08,1.12,3.65,5.11,9.84,7.94,6.79,4
Bandhan Bond Fund - Short Term Plan Regular Plan Growth,57.35,0.05,9815.71,1.13,3.75,5.16,9.92,7.75,6.15,4
Aditya Birla Sun Life Short Term Fund Regular Plan Growth,47.69,0.02,8342.87,1.02,3.61,5.02,9.69,7.75,7.07,4
