fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Invesco India PSU Equity Fund Growth,64.36,0.59,1281.46,7.1,26.02,-0.5,7.6,35.69,30.28,1.0
SBI PSU Regular Growth,31.92,0.13,5035.09,3.49,18.23,-2.22,7.73,34.77,31.89,1.0
Nippon India Power & Infra Fund - Growth,345.23,0.46,7026.26,6.3,19.02,-5.54,5.75,33.1,34.62,
Franklin India Opportunities Fund Growth,247.81,0.71,6484.96,4.16,15.3,-2.95,13.79,32.75,31.92,2.0
Aditya Birla Sun Life PSU Equity Fund Regular Growth,32.97,0.15,5390.83,3.23,18.67,-2.95,3.85,31.8,32.7,
