symbol,name,status,is_sme,additional_text,min_price,max_price,issue_price,listing_gains,listing_price,bidding_start_date,bidding_end_date,listing_date,lot_size,document_url
3BFILMS,3B Films,listed,True,Listed at 48.5 for 3.00% loss,50.0,50.0,50,-3.0,48.5,2025-05-30,,2025-06-06,,https://qr.me-qr.com/mobile/pdf/c4d6d5b9-4828-42b3-b775-66e95a8eeed6
NRVANDANA,N R Vandana Tex Industries,listed,True,Listed at 45.0 for 0.00% gains,42.0,45.0,45,0.0,45.0,2025-05-28,,2025-06-04,,https://nsearchives.nseindia.com/emerge/corporates/content/hbagdiya_21032025172416_NRDRHP20032025Final.pdf
SCODATUBES,Scoda Tubes,listed,False,Listed at 140.0 for 0.00% gains,130.0,140.0,140,0.0,140.0,2025-05-28,,2025-06-04,,https://www.mnclgroup.com/storage/scoda-tubes-rhp.pdf
NEPTUNE,Neptune Petrochemicals,listed,True,Listed at 132.75 for 8.81% gains,115.0,122.0,122,8.811475409836065,132.75,2025-05-28,,2025-06-04,,https://beelinemb.com/wp-content/uploads/2025/05/RHP_Neptune-Petrochemicals-Limited.pdf
NIKITA,Nikita Papers,listed,True,Listed at 90.0 for 13.46% loss,95.0,104.0,104,-13.461538461538462,90.0,2025-05-27,,2025-06-03,,https://www.nikitapapers.com/public/public/uploads/Investors/1747806873_34e1117a48566fe9eead.pdf
ASTONEALAB,Astonea Labs,listed,True,Listed at 137.45 for 1.81% gains,128.0,135.0,135,1.8148148148148062,137.45,2025-05-27,,2025-06-03,,https://astonea.org/images/reports/RHP.pdf
PROSTARM,Prostarm Info Systems,listed,False,Listed at 120.0 for 14.29% gains,95.0,105.0,105,14.285714285714285,120.0,2025-05-27,,2025-06-03,,https://cmsapi.choiceindia.com/assets/65087151-032a-45a5-b0df-2955c2b3ad0b
BLUEWATER,Blue Water Logistics,listed,True,Listed at 141.0 for 4.44% gains,132.0,135.0,135,4.444444444444445,141.0,2025-05-27,,2025-06-03,,https://bwl.co.in/wp-content/uploads/2025/05/Blue-Water_RHP_17.05.2025.pdf
AEGISVOPAK,Aegis Vopak Terminals,listed,False,Listed at 220.0 for 6.38% loss,223.0,235.0,235,-6.382978723404255,220.0,2025-05-26,,2025-06-02,,https://www.icicisecurities.com/Upload/ArticleAttachments/Aegis%20Vopak%20-%20Red%20Herring%20Prospectus.pdf
THELEELA,Schloss Bangalore (Leela Hotels),listed,False,Listed at 406.0 for 6.67% loss,413.0,435.0,435,-6.666666666666667,406.0,2025-05-26,,2025-06-02,,https://www.sebi.gov.in/filings/public-issues/sep-2024/schloss-bangalore-limited_86948.html
UNIFIED,Unified Data Tech,listed,True,Listed at 285.0 for 4.40% gains,260.0,273.0,273,4.395604395604396,285.0,2025-05-22,,2025-05-29,,https://www.udtechs.com/pdf/Corporate_Governance/Red_Herring_Prospectus.pdf
DCCL,Dar Credit and Capital,listed,True,Listed at 65.15 for 8.58% gains,57.0,60.0,60,8.583333333333343,65.15,2025-05-21,,2025-05-28,,https://nsearchives.nseindia.com/emerge/corporates/content/Registration_25112024205619_DRHPDARCREDIT.pdf
BELRISE,Belrise Industries,listed,False,Listed at 100.0 for 11.11% gains,85.0,90.0,90,11.11111111111111,100.0,2025-05-21,,2025-05-28,,https://www.sebi.gov.in/filings/public-issues/nov-2024/belrise-industries-limited_88690.html
BORANA,Borana Weaves,listed,False,Listed at 243.0 for 12.50% gains,205.0,216.0,216,12.5,243.0,2025-05-20,,2025-05-27,,https://www.sebi.gov.in/filings/public-issues/nov-2024/boranaweaveslimited_88608.html
ACCPL,Accretion Pharmaceuticals,listed,True,Listed at 79.0 for 21.78% loss,96.0,101.0,101,-21.782178217821784,79.0,2025-05-14,,2025-05-21,,https://nsearchives.nseindia.com/emerge/corporates/content/trampariya_17012025102852_DRHP_AccretionFinal.pdf
INTEGRITY,Integrity Infrabuild Developers,listed,True,Listed at 100.8 for 0.80% gains,100.0,100.0,100,0.7999999999999973,100.8,2025-05-13,,2025-05-20,,https://www.afsl.co.in/pdfnew/Prospectus_IIDL.pdf
VGINFOTECH,Virtual Galaxy Infotech,listed,True,Listed at 180.0 for 26.76% gains,135.0,142.0,142,26.76056338028169,180.0,2025-05-09,,2025-05-19,,https://www.vgipl.com/documents/RHP-%20Virtual%20Galaxy%20Infotech%20Limited.pdf
MANOJJEWEL,Manoj Jewellers,listed,True,Listed at 53.95 for 0.09% loss,54.0,54.0,54,-0.09259259259258733,53.95,2025-05-05,,2025-05-12,,https://manojjewellerslimited.com/wp-content/uploads/2025/04/Prospectus-Manoj-Jewellers-Limited-28042025.pdf
SRIGEE,Srigee DLM,listed,True,Listed at 188.1 for 90.00% gains,94.0,99.0,99,89.99999999999999,188.1,2025-05-05,,2025-05-12,,https://gyrcapitaladvisors.com/wp-content/uploads/2025/04/RHP_Srigee_Final.pdf
KENRIK,Kenrik Industries,listed,True,Listed at 25.01 for 0.04% gains,25.0,25.0,25,0.04000000000000625,25.01,2025-04-29,,2025-05-09,,https://tcagroup.in/wp-content/uploads/2025/04/Kenrik_Industries_Limited.pdf
ARUNAYA,Arunaya Organics,listed,True,Listed at 30.1 for 48.10% loss,55.0,58.0,58,-48.103448275862064,30.1,2025-04-29,,2025-05-07,,https://unistonecapital.com/wp-content/uploads/2025/04/Arunaya-Organics-Limited.pdf
IWARE,Iware Supplychain Services,listed,True,Listed at 85.05 for 10.47% loss,95.0,95.0,95,-10.473684210526319,85.05,2025-04-28,,2025-05-06,,https://iware.co.in/wp-content/uploads/2025/04/ProspectusIwareSupplychainServicesLimited.pdf
ATHER,Ather Energy,listed,False,Listed at 328.0 for 2.18% gains,304.0,321.0,321,2.1806853582554515,328.0,2025-04-28,,2025-05-06,,https://www.axiscapital.co.in/contents/Ather%20Energy%20Limited-RHP-1745322268.pdf
TANKUP,Tankup Engineers,listed,True,Listed at 175.0 for 25.00% gains,133.0,140.0,140,25.0,175.0,2025-04-23,,2025-04-30,,https://www.tankup.co.in/wp-content/uploads/2024/08/TankupEngineersLimited.pdf
SPINAROO,Spinaroo Commercial,listed,True,Listed at 52.85 for 3.63% gains,51.0,51.0,51,3.62745098039216,52.85,2025-03-28,,2025-04-08,,https://www.finshoregroup.com/assets/download_pdf/456227_Prospectus_Spinaroo_20032025_Final.pdf
INFONATIVE,Infonative Solutions,listed,True,Listed at 63.2 for 20.00% loss,75.0,79.0,79,-19.999999999999996,63.2,2025-03-28,,2025-04-08,,https://infonative.net/investor_relation/DRHP.pdf
RETAGGIO,Retaggio Industries,listed,True,Listed at 25.1 for 0.40% gains,25.0,25.0,25,0.40000000000000563,25.1,2025-03-27,,2025-04-07,,https://retaggioindustries.com/wp-content/uploads/2023/12/DRHP_Retaggio.pdf
IDENTIX,Identixweb,listed,True,Listed at 55.0 for 1.85% gains,51.0,54.0,54,1.8518518518518516,55.0,2025-03-26,,2025-04-03,,https://www.identixweb.com/wp-content/uploads/2024/06/Red-Herring-Prospectus.pdf
ATCENERGY,ATC Energies,listed,True,Listed at 107.0 for 9.32% loss,112.0,118.0,118,-9.322033898305085,107.0,2025-03-25,,2025-04-02,,https://nsearchives.nseindia.com/emerge/corporates/content/ATCEnergiesSystemLimited_DRHP.pdf
SHRIAHIMSA,Shri Ahimsa Naturals IPO,listed,True,Listed at 140.0 for 17.65% gains,113.0,119.0,119,17.647058823529413,140.0,2025-03-25,,2025-04-02,,https://www.srujanalpha.com/_files/ugd/d6ac2b_adb17825a3d34f89893522aff536b5ad.pdf
DESCO,Desco Infratech,listed,True,Listed at 160.0 for 6.67% gains,147.0,150.0,150,6.666666666666667,160.0,2025-03-24,,2025-04-01,,https://descoinfra.co.in/assets/documents/initial-public-offering/red-herring-prospectus.pdf
ACTIVEINFR,Active Infrastructures,listed,True,Listed at 181.0 for 0.00% gains,178.0,181.0,181,0.0,181.0,2025-03-21,,2025-03-28,,https://shrinfcdn.s3.ap-south-1.amazonaws.com/activeinfra/pdf/Active+Infrastructures+Limited_RHP_13032025.pdf
RAPIDFLEET,Rapid Fleet Management,listed,True,Listed at 195.0 for 1.56% gains,183.0,192.0,192,1.5625,195.0,2025-03-21,,2025-03-28,,https://rapidfleet.in/wp-content/uploads/2025/03/Rapid-Fleet_RHP.pdf
GCHOTELS,Grand Continent Hotels,listed,True,Listed at 112.9 for 0.09% loss,107.0,113.0,113,-0.08849557522123391,112.9,2025-03-20,,2025-03-27,,https://grandcontinenthotels.com/wp-content/uploads/2025/03/Final_RHP_Crown_13.03.2025_for%20ROC%20upload.pdf
DIVINEHIRA,Divine Hira Jewellery,listed,True,Listed at 90.0 for 0.00% gains,90.0,90.0,90,0.0,90.0,2025-03-17,,2025-03-24,,https://www.divinehirajewellers.com/wp-content/uploads/2025/03/prospectus.pdf.pdf
PPARIVAH,Paradeep Parivahan,listed,True,Listed at 78.4 for 20.00% loss,93.0,98.0,98,-19.999999999999996,78.4,2025-03-17,,2025-03-24,,https://www.paradeepparivahan.com/uploads/images/allpdf/RHP_PPL.pdf
SUPERIRON,Super Iron Foundry,listed,True,Listed at 107.95 for 0.05% loss,108.0,108.0,108,-0.046296296296293664,107.95,2025-03-11,,2025-03-19,,https://www.superironfoundry.com/images/pdf/Prospectus.pdf
PSPL,PDP Shipping Projects,listed,True,Listed at 108.25 for 19.81% loss,135.0,135.0,135,-19.814814814814817,108.25,2025-03-10,,2025-03-18,,https://www.pdpprojects.com/The_Prospectus.pdf
NAPSGLOBAL,NAPS Global India,listed,True,Listed at 108.0 for 20.00% gains,90.0,90.0,90,20.0,108.0,2025-03-04,,2025-03-11,,https://napsglobalindia.com/wp-content/uploads/2025/02/Prospectus.pdf
BALAJIPHOS,Balaji Phosphates Limited,listed,True,Listed at 75.0 for 7.14% gains,66.0,70.0,70,7.142857142857142,75.0,2025-02-28,,2025-03-07,,https://balajiphosphates.com/rhp/BALAJI_PHOSPHATES_RHP.pdf
SHREENATH,Shreenath Paper Products Limited,listed,True,Listed at 35.2 for 20.00% loss,44.0,44.0,44,-19.999999999999993,35.2,2025-02-25,,2025-03-05,,https://shreenathpaper.com/wp-content/uploads/2025/02/Propectus-SPPL.pdf
NUKLEUS,Nukleus Office Solutions Limited,listed,True,Listed at 187.2 for 20.00% loss,234.0,234.0,234,-20.000000000000004,187.2,2025-02-24,,2025-03-04,,https://www.nukleus.work/wp-content/uploads/2025/02/Prospectus-2025.02.18_final.pdf
BEEZAASAN,Beezaasan Explotech Limited,listed,True,Listed at 146.0 for 16.57% loss,165.0,175.0,175,-16.57142857142857,146.0,2025-02-21,,2025-03-03,,https://www.bsesme.com/download/323425/DRHPBeezaasanExplotechLimited_20241130223137.pdf
SWASTH,Swasth Foodtech India Limited,listed,True,Listed at 94.0 for 0.00% gains,94.0,94.0,94,0.0,94.0,2025-02-20,,2025-02-28,,https://www.bseindia.com/corporates/download/353727/SwasthDPFinalFilingVersion_20240726115258.pdf
HPTL,HP Telecom India Limited,listed,True,Listed at 115.05 for 6.53% gains,108.0,108.0,108,6.527777777777775,115.05,2025-02-20,,2025-02-28,,https://www.sebi.gov.in/filings/public-issues/feb-2025/hp-telecom-india-limited_91821.html
ROYALARC,Royalarc Electrodes Limited,listed,True,Listed at 120.0 for 0.00% gains,114.0,120.0,120,0.0,120.0,2025-02-14,,2025-02-24,,https://www.fedsec.in/download-section/Royal%20Arc%20Electrodes%20Limited%20-%20Red%20Herring%20Prospectus.pdf
QPOWER,Quality Power Electrical Equipments Limited,listed,False,Listed at 430.0 for 1.18% gains,401.0,425.0,425,1.1764705882352942,430.0,2025-02-14,,2025-02-24,,https://pantomath-web.s3.ap-south-1.amazonaws.com/1738934165984-QualityPowerElectricalEquipmentsLimited.pdf
TEJASCARGO,Tejas Cargo Limited,listed,True,Listed at 175.0 for 4.17% gains,160.0,168.0,168,4.166666666666666,175.0,2025-02-14,,2025-02-24,,https://www.tcipl.in/files/investor/RHPTCIL.pdf
LKMEHTA,LK Mehta Polymers Limited,listed,True,Listed at 71.1 for 0.14% gains,71.0,71.0,71,0.1408450704225272,71.1,2025-02-13,,2025-02-21,,https://lkmehtapolymersltd.com/wp-content/uploads/2025/02/Prospectus_06022025.pdf
SAGILITY,Sagility India,listed,False,Listed at 31.06 for 39.10% loss,38.11,51.0,51,-39.09803921568628,31.06,2025-05-27,,2024-11-12,,https://sagilityhealth.com/wp-content/uploads/2024/07/Draft-Red-Herring-Prospectus.pdf
