fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
ICICI Prudential Dividend Yield Equity Fund Growth,51.34,0.47,5230.79,1.19,11.5,0.59,13.86,24.75,31.57,3.0
LIC MF Dividend Yield Fund Regular Growth,30.64,0.43,509.45,7.35,16.68,-2.15,16.13,24.61,25.17,
Aditya Birla Sun Life Dividend Yield Fund Growth,437.63,0.29,1415.73,4.55,10.66,-6.28,9.61,22.32,25.66,3.0
HDFC Dividend Yield Fund Regular Growth,24.43,0.37,6176.92,3.09,13.45,-3.65,10.35,21.13,,
UTI Dividend Yield Fund Regular Plan Growth,172.93,0.22,3928.43,2.8,11.28,-4.08,14.27,20.59,24.3,3.0
