fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
ICICI Prudential Bond Fund Growth,40.54,0.02,2857.52,0.88,4.46,5.59,11.03,8.84,6.74,5
LIC MF Medium to Long Duration Fund Growth,73.11,0.02,198.05,1.12,4.97,5.84,11.17,8.58,5.67,3
SBI Magnum Income Fund Regular Growth,71.28,0.07,1942.19,0.82,4.25,5.12,10.16,8.32,6.63,4
HDFC Income Fund Growth,58.87,0.02,930.05,0.8,4.77,5.5,10.74,8.1,5.6,3
Nippon India Income Fund - Growth Plan,90.34,0.01,427.74,0.49,4.1,4.74,9.7,8.08,5.65,3
