fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Motilal Oswal ELSS Tax Saver Fund Regular Plan Growth,52.1,0.75,3896.7,12.08,24.14,-6.0,21.88,29.27,28.24,4.0
SBI Long Term Equity Fund Regular Growth,432.96,0.36,28506.07,3.36,11.43,-1.58,13.14,26.98,28.59,5.0
SBI Long Term Advantage Fund Series V Regular Plan Growth,30.67,0.59,362.08,6.51,22.04,6.55,38.56,24.84,27.53,
HDFC ELSS TaxSaver Growth,1381.14,0.29,16232.4,1.38,12.52,1.42,15.41,24.0,27.29,4.0
ITI ELSS Tax Saver Fund Regular Growth,24.33,0.7,384.74,8.97,18.43,-2.87,11.08,23.47,22.84,3.0
