fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Bandhan Small Cap Fund Regular Growth,46.06,0.59,10244.1,10.38,20.4,-4.66,27.85,32.15,36.31,4
ITI Small Cap Fund Regular Growth,28.4,0.74,2293.79,9.02,20.67,-4.9,16.46,29.46,30.01,3
Invesco India Smallcap Fund Regular Growth,41.18,0.91,6199.69,8.8,19.26,-5.29,21.86,28.07,33.96,4
Franklin India Smaller Companies Fund Growth,173.02,0.6,12530.32,8.89,19.98,-6.0,9.25,27.52,35.47,3
Quant Small Cap Fund Growth,252.73,0.48,26221.53,5.5,14.44,-7.82,3.05,27.51,46.65,4
