fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
JM Aggressive Hybrid Fund Growth,118.46,0.56,801.98,2.34,7.89,-6.45,5.58,22.58,26.8,4
Bank of India Mid & Small Cap Equity & Debt Fund Regular Growth,38.59,0.55,1095.18,9.03,18.24,-3.03,15.05,22.24,27.52,4
ICICI Prudential Equity & Debt Fund Growth,385.95,0.31,42339.71,1.19,10.69,3.4,15.09,20.33,25.98,5
Edelweiss Aggressive Hybrid B Growth,62.19,0.57,2612.19,2.57,10.84,1.53,15.87,19.05,21.51,4
Edelweiss Aggressive Hybrid A Growth,62.85,0.58,2612.19,2.56,10.84,1.51,15.85,18.95,21.44,4
