fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Bandhan Government Securities Fund - Constant Maturity Regular - Growth,46.36,0.08,355.96,1.03,5.56,6.59,12.64,9.52,6.08,4.0
ICICI Prudential Constant Maturity Gilt Growth,25.0,0.08,2530.86,1.08,5.41,6.55,12.56,9.47,6.37,4.0
SBI Magnum Constant Maturity Fund Regular Growth,64.52,0.08,1885.69,0.96,5.13,6.14,11.97,9.29,6.07,4.0
DSP 10Y G-Sec Fund Regular Growth,22.06,0.11,61.39,1.11,4.68,5.87,11.47,9.1,5.23,3.0
UTI Gilt Fund with 10 year Constant Duration Regular Growth,12.75,0.09,172.8,1.01,4.99,6.05,11.76,,,
