fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Invesco India Financial Services Fund Growth,136.23,0.96,1307.57,4.13,18.25,2.58,24.88,24.15,24.35,4
Sundaram Financial Services Opportunities Fund Regular Plan Growth,103.56,0.2,1524.15,1.35,15.44,4.82,17.58,23.08,25.26,4
Nippon India Banking & Financial Services Fund Growth,623.88,0.28,6966.89,2.17,15.78,6.19,23.71,22.38,29.19,4
Tata Banking & Financial Services Fund Regular Growth,42.3,0.17,2751.84,1.21,15.78,5.44,24.38,21.85,21.93,3
SBI Banking & Financial Services Regular Growth,41.22,0.21,7649.78,2.0,14.94,4.22,24.15,21.23,23.79,4
