fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
ICICI Prudential ESG Exclusionary Strategy Fund Regular Growth,22.14,0.32,1487.89,2.7,13.88,-0.09,21.0,20.96,,5
Quant ESG Equity Fund Regular Growth,33.22,0.52,284.41,5.07,15.59,-4.02,1.35,20.59,,3
Aditya Birla Sun Life ESG Integration Strategy Fund Regular Growth,17.5,0.34,621.79,2.95,11.87,-4.28,15.96,15.67,,2
Kotak ESG Exclusionary Strategy Fund Regular Growth,16.79,0.47,863.66,2.8,11.92,-2.28,9.18,15.5,,2
Quantum ESG Best In Class Strategy Fund Regular Growth,23.74,0.08,94.69,3.99,11.99,-2.63,12.47,15.31,20.52,3
