fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
UTI Money Market Fund - Regular Plan - Growth Option,3076.84,0.03,17803.72,0.76,2.52,4.3,8.21,7.46,6.1,4
Aditya Birla Sun Life Money Manager Fund Plan Retail Growth,454.95,0.03,27171.48,0.75,2.45,4.22,8.13,7.46,6.12,5
Aditya Birla Sun Life Money Manager Fund Regular Plan Growth,369.12,0.03,27171.48,0.75,2.45,4.22,8.13,7.46,6.12,4
Nippon India Money Market Fund Growth,4141.68,0.04,17771.77,0.77,2.53,4.27,8.17,7.45,6.08,4
Tata Money Market Fund Regular Growth,4711.28,0.03,30065.14,0.75,2.5,4.26,8.13,7.43,6.1,4
