fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Mirae Asset NYSE FANG+ ETF Fund of Fund Regular Growth,28.51,-0.45,1732.59,10.87,8.77,12.33,46.9,47.53,,
Mirae Asset S&P 500 Top 50 ETF Fund of Fund Regular Growth,18.99,0.56,736.8,5.49,-6.09,-6.17,24.24,24.75,,
Edelweiss US Technology Equity Fund of Fund Regular Growth,27.31,1.73,2428.79,12.9,6.54,-0.92,25.41,24.34,17.51,
Navi NASDAQ 100 Fund of Fund Regular Growth,16.53,0.63,908.38,9.83,4.93,2.41,19.76,24.17,,
Kotak NASDAQ 100 Fund of Fund Regular Growth,18.64,1.04,2874.96,11.01,6.0,2.64,20.07,23.85,,
