fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Quantum Gold Savings Fund Regular Growth Option,37.3,0.33,192.17,3.6,12.52,27.07,33.96,22.47,14.53,
SBI Gold Fund Regular Plan Growth,28.85,0.56,3930.78,3.32,12.27,27.07,33.15,22.37,14.61,
LIC MF Gold ETF FOF Growth,25.63,0.52,125.45,4.03,12.03,26.41,33.52,22.29,12.77,
Aditya Birla Sun Life Gold Fund Growth,28.56,0.1,601.26,3.58,12.64,26.84,34.1,22.19,14.46,
Nippon India Gold Savings Fund - Growth,37.75,0.52,2958.89,3.0,12.18,26.8,33.78,22.15,14.36,
