fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
UTI Unit Linked Insurance,41.98,0.35,5449.44,1.33,7.35,2.86,13.96,10.25,11.95,
360 ONE Balanced Hybrid Fund Regular Growth,12.65,0.29,836.67,2.65,7.08,0.9,11.42,,,
WhiteOak Capital Balanced Hybrid Fund Regular Growth,12.73,0.4,176.41,2.12,8.63,0.73,13.41,,,
