ticker,company,price,52_week_low
SILF.BO,Siel Financial Services,8.13,8.49
NAKH.BO,Naksh Precious Metals,7.15,7.13
VASU.BO,Vasundhara Rasayans,199.3,200.0
AXIA.BO,Axita Cotton,9.07,9.08
SURJ.BO,Suraj Products,315.0,309.5
RAPI.BO,Rapid Investments,86.99,85.5
