fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Axis Floater Fund Regular Growth,1312.77,0.14,181.14,0.61,5.15,5.65,11.44,8.5,,4
DSP Floater Fund Regular Growth,13.24,0.06,576.5,0.76,3.58,4.87,10.32,8.28,,4
HDFC Floating Rate Debt - Plan - Growth,49.93,0.0,15014.78,0.98,3.09,4.77,9.31,8.02,6.9,4
ICICI Prudential Floating Interest Fund Growth,423.24,0.02,7313.24,0.82,2.7,4.27,8.71,7.9,6.81,4
Franklin India Floating Rate Growth,40.8,0.03,322.57,0.84,3.52,5.04,9.58,7.88,6.3,3
