fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
Invesco India Focused Fund Regular Growth,28.25,0.93,3693.3,4.87,12.55,-3.38,20.91,25.44,,4
HDFC Focused 30 Fund Growth,224.84,0.36,18559.82,1.3,11.21,1.79,17.47,24.87,30.04,4
ICICI Prudential Focused Equity Fund Growth,90.12,0.68,11018.79,2.68,15.8,2.36,18.38,24.07,26.33,5
Mahindra Manulife Focused Fund Regular Growth,26.06,0.47,2058.84,1.03,9.78,-2.44,9.93,21.4,,4
JM Focused Fund - Growth Option,19.24,0.43,259.69,3.12,9.53,-7.93,6.17,20.63,21.21,2
