fund_name,latest_nav,percentage_change,asset_size,1_month_return,3_month_return,6_month_return,1_year_return,3_year_return,5_year_return,star_rating
ICICI Prudential India Equity FOF Regular Growth,30.08,0.42,168.32,2.64,12.15,-0.06,14.7,22.47,28.63,
ICICI Prudential Thematic Advantage Fund(FOF) Growth,221.93,0.21,2982.03,2.75,12.92,3.05,23.5,21.46,27.8,3.0
Kotak Multi Asset Allocator Fund of Fund - Dynamic Growth,232.16,0.4,1707.83,4.42,11.99,3.08,14.3,20.57,22.11,3.0
ICICI Prudential Passive Strategy Fund(FOF) Growth,160.48,0.29,190.89,1.14,12.33,1.2,13.23,19.96,24.03,3.0
Quantum Equity Fund of Funds Regular Plan Growth Option,82.52,0.52,124.12,3.26,13.28,-0.8,14.58,18.54,21.65,
