displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,7559.00,,,2024,Interim
Short Term Investments ,ShortTermInvestments,5983.00,,,2024,Interim
Cashand Short Term Investments ,CashandShortTermInvestments,13542.00,,,2024,Interim
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,2997.00,,,2024,Interim
Total Receivables Net ,TotalReceivablesNet,3035.00,,,2024,Interim
Total Inventory ,TotalInventory,4022.00,,,2024,Interim
Other Current Assets Total ,OtherCurrentAssetsTotal,725.00,,,2024,Interim
Total Current Assets ,TotalCurrentAssets,21324.00,,,2024,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,9056.00,,,2024,Interim
Goodwill Net ,GoodwillNet,17466.00,,,2024,Interim
Intangibles Net ,IntangiblesNet,28247.00,,,2024,Interim
Long Term Investments ,LongTermInvestments,827.00,,,2024,Interim
Note Receivable- Long Term ,NoteReceivable-LongTerm,1277.00,,,2024,Interim
Other Long Term Assets Total ,OtherLongTermAssetsTotal,302.00,,,2024,Interim
Total Assets ,TotalAssets,78499.00,,,2024,Interim
Accounts Payable ,AccountsPayable,10486.00,,,2024,Interim
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,13.00,,,2024,Interim
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,365.00,,,2024,Interim
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,2012.00,,,2024,Interim
Total Current Liabilities ,TotalCurrentLiabilities,12876.00,,,2024,Interim
Capital Lease Obligations ,CapitalLeaseObligations,1106.00,,,2024,Interim
Total Long Term Debt ,TotalLongTermDebt,1106.00,,,2024,Interim
Total Debt ,TotalDebt,1484.00,,,2024,Interim
Deferred Income Tax ,DeferredIncomeTax,6557.00,,,2024,Interim
Minority Interest ,MinorityInterest,205.00,,,2024,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,6537.00,,,2024,Interim
Total Liabilities ,TotalLiabilities,27281.00,,,2024,Interim
Common Stock Total ,CommonStockTotal,235.00,,,2024,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),50983.00,,,2024,Interim
Total Equity ,TotalEquity,51218.00,,,2024,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,78499.00,,,2024,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,234.96,,,2024,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,23.43,,,2024,Interim
period Length ,periodLength,0.00,,,2024,Interim
