rank,since,firstName,mI,lastName,age,title
1,04/01/2023,Rohit,,Jawa,58,"{'startYear': '2023', 'startMonth': '6', 'startDay': '27', 'iD1': 'CEO', 'abbr1': 'CEO', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Chief Executive Officer, Managing Director, Executive Director'}"
2,05/01/2021,Ritesh,,Tiwari,48,"{'startYear': '2021', 'startMonth': '5', 'startDay': '1', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': 'FID', 'abbr2': 'Fin. Dir.', 'Value': 'Chief Financial Officer, Executive Director - Finance & IT, Whole-time Director'}"
3,01/01/2025,Radhika,Karthik,Shah,,"{'startYear': '2025', 'startMonth': '1', 'startDay': '1', 'iD1': 'CCO', 'abbr1': 'Chief Comp.', 'iD2': 'SEC', 'abbr2': 'Secy.', 'Value': 'Company Secretary and Compliance Officer'}"
4,02/2013,Bittianda,Ponappa,Biddappa,57,"{'startYear': '2024', 'startMonth': '6', 'startDay': '1', 'iD1': 'EDR', 'abbr1': 'Exec. Dir.', 'iD2': '', 'abbr2': '', 'Value': 'Whole-Time Director'}"
5,04/01/2024,Harman,,Dhillon,44,"{'startYear': '2024', 'startMonth': '4', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Beauty & Wellbeing'}"
6,04/07/2025,Rajneet,Singh,Kohli,49,"{'startYear': '2025', 'startMonth': '4', 'startDay': '7', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Foods and General Manager, India  Foods Business Unit'}"
7,2003,Vipul,,Mathur,,"{'startYear': '2024', 'startMonth': '6', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Personal Care'}"
8,09/01/2022,Yogesh,,Mishra,,"{'startYear': '2022', 'startMonth': '9', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director - Supply Chain'}"
9,03/2025,Vivek,,Mittal,,"{'startYear': '2025', 'startMonth': '3', 'startDay': '', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director, Legal and Corporate Affairs'}"
10,01/01/2024,Arun,,Neelakantan,43,"{'startYear': '2024', 'startMonth': '7', 'startDay': '1', 'iD1': 'OTH', 'abbr1': 'Other', 'iD2': '', 'abbr2': '', 'Value': 'Executive Director, Customer Development'}"
