displayName,key,value
"P/E excluding extraordinary items, most recent fiscal year",pPerEExcludingExtraordinaryItemsMostRecentFiscalYear,52.44
"Current Dividend Yield - Common Stock Primary Issue, LTM",currentDividendYieldCommonStockPrimaryIssueLTM,1.81
Price to Book - most recent fiscal year,priceToBookMostRecentFiscalYear,11.30
Price to Free Cash Flow per Share - trailing 12 months,priceToFreeCashFlowPerShareTrailing12Months,
P/E Basic excluding extraordinary items - TTM,pPerEBasicExcludingExtraordinaryItemsTTM,49.84
P/E including extraordinary items - TTM,pPerEIncludingExtraordinaryItemsTTM,52.44
"P/E excluding extraordinary items low, trailing 12 months",pPerEExcludingExtraordinaryItemsLowTrailing12Months,49.84
Price to Tangible Book - most fiscal year,priceToTangibleBookMostFiscalYear,151.23
Dividend Yield - 5 Year Average,dividendYield5YearAverage,1.64
Price to sales - most recent fiscal year,priceToSalesMostRecentFiscalYear,8.85
"Net Debt, LFI",netDebtLFI,-111450
Price to Tangible Book - most recent quarter,priceToTangibleBookMostRecentQuarter,151.23
Price to Book - most recent quarter,priceToBookMostRecentQuarter,11.30
Dividend Yield - indicated annual dividend divided by closing price,dividendYieldIndicatedAnnualDividendDividedByClosingprice,1.81
Price to Cash Flow per share - trailing 12 month,priceToCashFlowPerShareTrailing12Month,46.43
Peg Ratio,pegRatio,8.37
is ForCasted,isForCasted,true
Price to Free Cash Flow per Share - most recent fiscal year,priceToFreeCashFlowPerShareMostRecentFiscalYear,
"P/E Normalized, most recent fiscal year",pPerENormalizedMostRecentFiscalYear,54.03
"P/E excluding extraordinary items high, trailing 12 months",pPerExcludingExtraordinaryItemsHighTrailing12Months,75.30
"P/E excluding extraordinary items, most recent fiscal year quarter",pPerEExcludingExtraordinaryItemsMostRecentFiscalYearQuarter,52.44
Price to sales - trailing 12 month,priceToSalesTrailing12Month,8.85
"Net Debt, LFY",netDebtLFY,-94050
