displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Net Income/ Starting Line ,NetIncome/StartingLine,19488.00,,,2023,Annual
Depreciation/ Depletion ,Depreciation/Depletion,4145.00,,,2023,Annual
Non- Cash Items ,Non-CashItems,-621,,,2023,Annual
Changesin Working Capital ,ChangesinWorkingCapital,-5003,,,2023,Annual
Cashfrom Operating Activities ,CashfromOperatingActivities,18009.00,,,2023,Annual
Capital Expenditures ,CapitalExpenditures,-1661,,,2023,Annual
Other Investing Cash Flow Items Total ,OtherInvestingCashFlowItemsTotal,-2270,,,2023,Annual
Cashfrom Investing Activities ,CashfromInvestingActivities,-3931,,,2023,Annual
Financing Cash Flow Items ,FinancingCashFlowItems,-111,,,2023,Annual
Total Cash Dividends Paid ,TotalCashDividendsPaid,-12995,,,2023,Annual
Issuance( Retirement)of Stock Net ,Issuance(Retirement)ofStockNet,0.00,,,2023,Annual
Issuance( Retirement)of Debt Net ,Issuance(Retirement)ofDebtNet,-2775,,,2023,Annual
Cashfrom Financing Activities ,CashfromFinancingActivities,-15881,,,2023,Annual
Foreign Exchange Effects ,ForeignExchangeEffects,358.00,,,2023,Annual
Net Changein Cash ,NetChangeinCash,-1445,,,2023,Annual
Cash Interest Paid ,CashInterestPaid,80.00,,,2023,Annual
Cash Taxes Paid ,CashTaxesPaid,3872.00,,,2023,Annual
period Length ,periodLength,12,,,2023,Annual
period Type ,periodType,Months,,,2023,Annual
