Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,67,72,64,67,1,67,42
ThirtyDaysAgo,INR,67,72,64,67,1,67,42
SixtyDaysAgo,INR,69,73,65,69,1,68,40
NinetyDaysAgo,INR,70,74,66,70,1,69,40
OneWeekAgo,INR,73,78,69,73,2,73,42
ThirtyDaysAgo,INR,73,78,69,73,2,73,42
SixtyDaysAgo,INR,76,83,71,76,3,75,38
NinetyDaysAgo,INR,78,83,71,77,3,77,37
OneWeekAgo,INR,78,83,74,78,2,78,19
ThirtyDaysAgo,INR,78,83,74,78,2,78,19
SixtyDaysAgo,INR,84,87,82,84,2,83,2
NinetyDaysAgo,INR,85,87,83,85,1,84,2
