displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Equivalents ,CashEquivalents,21289.00,,,2025,Annual
Short Term Investments ,ShortTermInvestments,9062.00,,,2025,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,30351.00,,,2025,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,25842.00,,,2025,Annual
Total Receivables Net ,TotalReceivablesNet,26966.00,,,2025,Annual
Total Inventory ,TotalInventory,133.00,,,2025,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,4659.00,,,2025,Annual
Total Current Assets ,TotalCurrentAssets,62109.00,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,7576.00,,,2025,Annual
Goodwill Net ,GoodwillNet,21756.00,,,2025,Annual
Intangibles Net ,IntangiblesNet,6899.00,,,2025,Annual
Long Term Investments ,LongTermInvestments,2303.00,,,2025,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,1608.00,,,2025,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,3293.00,,,2025,Annual
Total Assets ,TotalAssets,105544.00,,,2025,Annual
Accounts Payable ,AccountsPayable,3016.00,,,2025,Annual
Accrued Expenses ,AccruedExpenses,3209.00,,,2025,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,3568.00,,,2025,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,18246.00,,,2025,Annual
Total Current Liabilities ,TotalCurrentLiabilities,28039.00,,,2025,Annual
Long Term Debt ,LongTermDebt,70.00,,,2025,Annual
Capital Lease Obligations ,CapitalLeaseObligations,2638.00,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,2708.00,,,2025,Annual
Total Debt ,TotalDebt,6276.00,,,2025,Annual
Deferred Income Tax ,DeferredIncomeTax,1615.00,,,2025,Annual
Minority Interest ,MinorityInterest,18.00,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,3509.00,,,2025,Annual
Total Liabilities ,TotalLiabilities,35889.00,,,2025,Annual
Common Stock Total ,CommonStockTotal,543.00,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),69112.00,,,2025,Annual
Total Equity ,TotalEquity,69655.00,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,105544.00,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,271.37,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,151.09,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
