rank,since,firstName,mI,lastName,age,title
1,05/01/2015,Rishad,Azim,Premji,47,"{'startYear': '2019', 'startMonth': '7', 'startDay': '30', 'iD1': 'CHM', 'abbr1': 'Chmn.', 'iD2': 'EDR', 'abbr2': 'Exec. Dir.', 'Value': 'Executive Chairman of the Board'}"
2,03/31/2021,Srinivas,,Pallia,,"{'startYear': '2024', 'startMonth': '4', 'startDay': '7', 'iD1': 'CEO', 'abbr1': 'CEO', 'iD2': 'MDR', 'abbr2': 'Mgng.Dir.', 'Value': 'Chief Executive Officer, Managing Director, Executive Director, Member of the Executive Board'}"
3,03/31/2021,Nagendra,P.,Bandaru,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'MAP', 'abbr1': 'Mgng. Ptnr.', 'iD2': 'EXB', 'abbr2': 'Exec.Bd.', 'Value': 'Member of the Executive Board, Managing Partner and Global Business Line Head - Wipro Enterprise Futuring'}"
4,09/22/2023,Aparna,C.,Iyer,,"{'startYear': '2023', 'startMonth': '9', 'startDay': '22', 'iD1': 'CFO', 'abbr1': 'CFO', 'iD2': 'SVP', 'abbr2': 'Sr. VP', 'Value': 'Chief Financial Officer, Senior Vice President'}"
5,05/18/2024,Sanjeev,Kumar,Jain,,"{'startYear': '2024', 'startMonth': '5', 'startDay': '18', 'iD1': 'COO', 'abbr1': 'COO', 'iD2': '', 'abbr2': '', 'Value': 'Chief Operating Officer'}"
6,03/31/2021,Saurabh,,Govil,56,"{'startYear': '2021', 'startMonth': '3', 'startDay': '31', 'iD1': 'CHO', 'abbr1': 'Chief HR', 'iD2': 'EXB', 'abbr2': 'Exec.Bd.', 'Value': 'Chief Human Resources Officer, Member of the Executive Board'}"
7,06/03/2015,M. Sanaulla,,Khan,,"{'startYear': '2023', 'startMonth': '', 'startDay': '', 'iD1': 'SVP', 'abbr1': 'Sr. VP', 'iD2': 'CCO', 'abbr2': 'Chief Comp.', 'Value': 'Senior Vice President, Compliance Officer, Company Secretary'}"
8,03/31/2021,Pierre,,Bruno,,"{'startYear': '2021', 'startMonth': '3', 'startDay': '31', 'iD1': 'EXB', 'abbr1': 'Exec.Bd.', 'iD2': '', 'abbr2': '', 'Value': 'Member of the Executive Board, Chief Executive Officer - Europe'}"
9,2022,Suzanne,,Dann,,"{'startYear': '2022', 'startMonth': '', 'startDay': '', 'iD1': 'EXB', 'abbr1': 'Exec.Bd.', 'iD2': '', 'abbr2': '', 'Value': 'Member of the Executive Board, Chief Executive Officer - Americas 2'}"
10,05/10/2024,Vinay,,Firake,,"{'startYear': '2024', 'startMonth': '5', 'startDay': '10', 'iD1': 'EXB', 'abbr1': 'Exec.Bd.', 'iD2': '', 'abbr2': '', 'Value': 'Member of the Executive Board, Chief Executive Officer - APMEA'}"
