tickerId,companyName,remarks,boardMeetDate,purpose
S0003048,Axis Bank,,2025-04-24,Audited Results & Final Dividend
S0003048,Axis Bank,,2025-01-16,Quarterly Results
S0003048,Axis Bank,,2024-10-17,Quarterly Results
S0003048,Axis Bank,,2024-07-24,Quarterly Results
S0003048,Axis Bank,,2024-04-24,Audited Results & Final Dividend
S0003048,Axis Bank,,2024-01-23,Quarterly Results
S0003048,Axis Bank,,2023-10-25,Quarterly Results
S0003048,Axis Bank,,2023-07-26,Quarterly Results
S0003048,Axis Bank,,2023-04-27,Audited Results & Dividend
S0003048,Axis Bank,,2023-01-23,Quarterly Results
S0003048,Axis Bank,,2022-10-20,Quarterly Results
S0003048,Axis Bank,,2022-07-25,Quarterly Results
S0003048,Axis Bank,,2022-04-28,Audited Results & Final Dividend
S0003048,Axis Bank,,2022-01-24,Quarterly Results
S0003048,Axis Bank,,2021-10-26,Quarterly Results
S0003048,Axis Bank,,2021-07-26,Quarterly Results
S0003048,Axis Bank,,2021-04-27,Audited Results & Final Dividend
S0003048,Axis Bank,,2021-01-27,Quarterly Results
