displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,102698.70,,,2025,Annual
Other Earning Assets Total ,OtherEarningAssetsTotal,396685.07,,,2025,Annual
Net Loans ,NetLoans,1081229.47,,,2025,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,6492.08,,,2025,Annual
Goodwill Net ,GoodwillNet,289.24,,,2025,Annual
Other Assets Total ,OtherAssetsTotal,69568.05,,,2025,Annual
Total Assets ,TotalAssets,1656962.61,,,2025,Annual
Total Deposits ,TotalDeposits,1170920.89,,,2025,Annual
Long Term Debt ,LongTermDebt,220686.75,,,2025,Annual
Total Long Term Debt ,TotalLongTermDebt,220686.75,,,2025,Annual
Total Debt ,TotalDebt,220686.75,,,2025,Annual
Minority Interest ,MinorityInterest,635.13,,,2025,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,77484.35,,,2025,Annual
Total Liabilities ,TotalLiabilities,1469727.12,,,2025,Annual
Common Stock Total ,CommonStockTotal,619.47,,,2025,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),185433.36,,,2025,Annual
ESOP Debt Guarantee ,ESOPDebtGuarantee,1182.66,,,2025,Annual
Total Equity ,TotalEquity,187235.49,,,2025,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,1656962.61,,,2025,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,309.74,,,2025,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,603.56,,,2025,Annual
period Length ,periodLength,0.00,,,2025,Annual
