displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Interest Income Bank ,InterestIncomeBank,68846.06,,,2022,Annual
Total Interest Expense ,TotalInterestExpense,34922.66,,,2022,Annual
Net Interest Income ,NetInterestIncome,33923.40,,,2022,Annual
Loan Loss Provision ,LoanLossProvision,5213.67,,,2022,Annual
Net Interest Inc After Loan Loss Prov ,NetInterestIncAfterLoanLossProv,28709.73,,,2022,Annual
Non- Interest Income Bank ,Non-InterestIncomeBank,17268.13,,,2022,Annual
Non- Interest Expense Bank ,Non-InterestExpenseBank,-27048.40,,,2022,Annual
Net Income Before Taxes ,NetIncomeBeforeTaxes,18929.46,,,2022,Annual
Provisionfor Income Taxes ,ProvisionforIncomeTaxes,4765.11,,,2022,Annual
Net Income After Taxes ,NetIncomeAfterTaxes,14164.35,,,2022,Annual
Minority Interest ,MinorityInterest,-87.60,,,2022,Annual
Equity In Affiliates ,EquityInAffiliates,42.54,,,2022,Annual
Net Income Before Extra Items ,NetIncomeBeforeExtraItems,14119.29,,,2022,Annual
Net Income ,NetIncome,14119.29,,,2022,Annual
Income Availableto Com Excl Extra Ord ,IncomeAvailabletoComExclExtraOrd,14119.29,,,2022,Annual
Income Availableto Com Incl Extra Ord ,IncomeAvailabletoComInclExtraOrd,14119.29,,,2022,Annual
Diluted Net Income ,DilutedNetIncome,14119.29,,,2022,Annual
Diluted Weighted Average Shares ,DilutedWeightedAverageShares,307.57,,,2022,Annual
Diluted EPS Excluding Extra Ord Items ,DilutedEPSExcludingExtraOrdItems,45.91,,,2022,Annual
DPS- Common Stock Primary Issue ,DPS-CommonStockPrimaryIssue,1.00,,,2022,Annual
Diluted Normalized EPS ,DilutedNormalizedEPS,48.14,,,2022,Annual
period Length ,periodLength,12,,,2022,Annual
period Type ,periodType,Months,,,2022,Annual
