displayName,key,value,qoQComp,yqoQComp,FiscalYear,Type
Cash Duefrom Banks ,CashDuefromBanks,110413.23,,,2025,Interim
Other Earning Assets Total ,OtherEarningAssetsTotal,317377.28,,,2025,Interim
Net Loans ,NetLoans,1017663.30,,,2025,Interim
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,6009.06,,,2025,Interim
Goodwill Net ,GoodwillNet,289.24,,,2025,Interim
Other Assets Total ,OtherAssetsTotal,61723.40,,,2025,Interim
Total Assets ,TotalAssets,1513475.51,,,2025,Interim
Total Deposits ,TotalDeposits,1060842.05,,,2025,Interim
Long Term Debt ,LongTermDebt,224036.71,,,2025,Interim
Total Long Term Debt ,TotalLongTermDebt,224036.71,,,2025,Interim
Total Debt ,TotalDebt,224036.71,,,2025,Interim
Minority Interest ,MinorityInterest,530.14,,,2025,Interim
Other Liabilities Total ,OtherLiabilitiesTotal,63127.55,,,2025,Interim
Total Liabilities ,TotalLiabilities,1348536.45,,,2025,Interim
Common Stock Total ,CommonStockTotal,618.05,,,2025,Interim
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),163381.78,,,2025,Interim
ESOP Debt Guarantee ,ESOPDebtGuarantee,939.23,,,2025,Interim
Total Equity ,TotalEquity,164939.06,,,2025,Interim
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,1513475.51,,,2025,Interim
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,309.02,,,2025,Interim
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,532.80,,,2025,Interim
period Length ,periodLength,0.00,,,2025,Interim
