tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003048,Axis Bank,,2025-04-02,,2025-05-06,POM
S0003048,Axis Bank,,2024-06-28,,2024-07-26,AGM
S0003048,Axis Bank,,2023-11-01,,2023-12-05,POM
S0003048,Axis Bank,,2023-09-26,,2023-10-30,POM
S0003048,Axis Bank,,2023-06-16,,2023-07-28,AGM
S0003048,Axis Bank,,2023-03-29,,2023-05-03,POM
S0003048,Axis Bank,,2022-07-05,,2022-07-29,AGM
S0003048,Axis Bank,,2022-03-09,,2022-04-12,POM
S0003048,Axis Bank,,2022-02-04,,2022-03-08,POM
S0003048,Axis Bank,,2021-06-14,,2021-07-30,AGM
