Date,50 DMA
2025-05-21,809.16
2025-05-22,808.22
2025-05-23,807.64
2025-05-26,807.34
2025-05-27,807.86
2025-05-28,807.76
2025-05-29,808.4
2025-05-30,808.74
2025-06-02,808.89
2025-06-03,808.58
2025-06-04,808.8
2025-06-05,808.58
2025-06-06,809.14
