Age,CurrencyCode,Mean,High,Low,Median,StandardDeviation,SmartEstimate,NumEstimates
OneWeekAgo,INR,67,131,16,56,29,51,18
ThirtyDaysAgo,INR,95,131,61,95,18,79,20
SixtyDaysAgo,INR,102,131,73,102,13,98,19
NinetyDaysAgo,INR,110,133,88,107,11,106,20
OneWeekAgo,INR,86,161,32,77,33,69,17
ThirtyDaysAgo,INR,117,161,81,116,18,102,19
SixtyDaysAgo,INR,126,161,106,125,12,123,18
NinetyDaysAgo,INR,133,163,113,130,13,128,18
OneWeekAgo,INR,81,100,63,82,11,82,7
ThirtyDaysAgo,INR,108,108,108,108,0,108,1
