tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003023,Indusind Bank,,2024-08-06,,2024-08-27,AGM
S0003023,Indusind Bank,,2024-06-03,,2024-07-06,POM
S0003023,Indusind Bank,,2023-12-21,,2024-01-25,POM
S0003023,Indusind Bank,,2023-10-18,,2023-12-08,POM
S0003023,Indusind Bank,,2023-08-31,,2023-10-05,POM
S0003023,Indusind Bank,,2023-07-20,,2023-08-24,AGM
S0003023,Indusind Bank,,2023-03-02,,2023-04-08,POM
S0003023,Indusind Bank,,2023-01-24,,2023-03-01,POM
S0003023,Indusind Bank,,2022-07-18,,2022-08-19,AGM
S0003023,Indusind Bank,,2021-07-26,,2021-08-26,AGM
