Date,Revenue,Interest,Expenses,Financing Profit,Financing Margin %,Other Income,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Gross NPA %,Net NPA %
2022-03-01,7860.0,3875.0,4020.0,-35.0,-0.0,1900.0,0.0,1865.0,27.0,1361.0,17.57,2.27,0.64
2022-06-01,8182.0,4057.0,3911.0,214.0,3.0,1929.0,0.0,2143.0,25.0,1603.0,20.68,2.35,0.67
2022-09-01,8708.0,4406.0,3934.0,368.0,4.0,2011.0,0.0,2379.0,25.0,1787.0,23.05,2.11,0.61
2022-12-01,9457.0,4962.0,3956.0,539.0,6.0,2076.0,0.0,2616.0,25.0,1959.0,25.27,2.06,0.62
2023-03-01,10021.0,5351.0,4097.0,572.0,6.0,2151.0,0.0,2723.0,25.0,2041.0,26.3,1.98,0.59
2023-06-01,10730.0,5863.0,4238.0,629.0,6.0,2210.0,0.0,2838.0,25.0,2124.0,27.37,1.94,0.58
2023-09-01,11248.0,6171.0,4451.0,625.0,6.0,2282.0,0.0,2907.0,25.0,2181.0,28.07,1.93,0.57
2023-12-01,11572.0,6277.0,4623.0,672.0,6.0,2396.0,0.0,3068.0,25.0,2298.0,29.55,1.92,0.57
2024-03-01,12199.0,6822.0,4749.0,628.0,5.0,2500.0,0.0,3128.0,25.0,2347.0,30.15,1.92,0.57
2024-06-01,12547.0,7139.0,4972.0,436.0,3.0,2441.0,0.0,2877.0,25.0,2152.0,27.64,2.02,0.6
2024-09-01,12686.0,7339.0,5759.0,-412.0,-3.0,2184.0,0.0,1772.0,25.0,1325.0,17.01,2.11,0.64
2024-12-01,12801.0,7573.0,5723.0,-495.0,-4.0,2350.0,0.0,1855.0,24.0,1401.0,17.99,2.25,0.68
2025-03-01,10634.0,7586.0,6646.0,-3598.0,-34.0,709.0,0.0,-2889.0,-23.0,-2236.0,-28.7,3.13,0.95
