tickerId,companyName,remarks,dateOfAnnouncement,recordDate,agmDate,purpose
S0003026,Tata Steel,,2025-05-12,,2025-07-02,AGM
S0003026,Tata Steel,,2025-04-15,,2025-05-17,POM
S0003026,Tata Steel,,2024-11-25,,2024-12-27,POM
S0003026,Tata Steel,,2024-06-24,,2024-07-15,AGM
S0003026,Tata Steel,,2024-02-01,,2024-03-05,POM
S0003026,Tata Steel,,2024-01-05,,2024-02-09,COM
S0003026,Tata Steel,,2023-12-22,,2024-01-25,COM
S0003026,Tata Steel,,2023-08-17,,2023-09-18,COM
S0003026,Tata Steel,,2023-08-14,,2023-09-13,POM
S0003026,Tata Steel,,2023-07-07,,2023-08-10,COM
S0003026,Tata Steel,,2023-05-02,,2023-07-05,AGM
S0003026,Tata Steel,,2023-05-26,,2023-06-27,COM
S0003026,Tata Steel,,2022-05-04,,2022-06-28,AGM
S0003026,Tata Steel,,2022-05-10,,2022-06-13,POM
S0003026,Tata Steel,,2022-02-21,,2022-03-29,POM
S0003026,Tata Steel,,2021-05-05,,2021-06-30,AGM
S0003026,Tata Steel,,2021-02-19,,2021-03-27,POM
S0003026,Tata Steel,,2021-02-17,,2021-03-26,COM
