displayName,key,value
"EPS Change %, TTM over TTM",ePSChangePercentTTMOverTTM,175.34
"Revenue growth rate, 5 year",revenueGrowthRate5Year,7.97
"EPS growth rate, 5 year",ePSGrowthRate5Year,18.24
Revenue Change % - most recent quarter 1 year ago,revenueChangePercentMostRecentQuarter1YearAgo,-4.21
"Growth rate% - dividend, 3 year",growthRatePercentDividend3Year,-10.96
"Growth rate% - EPS, 3 year",growthRatePercentEPS3year,-56.47
Revenue/share (5 yr growth),revenuePerShare(5yrGrowth),6.11
"Free Operating Cash Flow, 5 Year CAGR",freeOperatingCashFlow5YearCAGR,-16.52
"Tangible Book Value, Total Equity, 5 Year CAGR",tangibleBookValueTotalEquity5YearCAGR,1.77
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year Interim CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearInterimCAGR,7.25
"Capital Spending growth rate, 5 year",capitalSpendingGrowthRate5Year,8.55
"Revenue Change %, TTM over TTM",revenueChangePercentTTMPOverTTM,-4.64
"Growth rate% -  Revenue, 3 year",growthRatePercentRevenue3Year,-3.60
"Book value per share growth rate, 5 year",bookValuePerShareGrowthRate5Year,3.63
EPS Change % - most recent quarter 1 year ago,ePSChangePercentMostRecentQuarter1YearAgo),110.86
"Net Profit Margin growth rate, 5 year",netProfitMarginGrowthRate5Year,13.03
"Earnings Before Interest, Taxes, Depreciation & Amortization, 5 Year CAGR",earningsBeforeInterestTaxesDepreciationAmortization5YearCAGR,6.17
"Total Debt, 5 Year CAGR",totalDebt5YearCAGR,-4.01
