displayName,key,value,yqoQComp,qoQComp,FiscalYear,Type
Cash ,Cash,7080.84,,,2024,Annual
Short Term Investments ,ShortTermInvestments,731.22,,,2024,Annual
Cashand Short Term Investments ,CashandShortTermInvestments,7812.06,,,2024,Annual
Accounts Receivable- Trade Net ,AccountsReceivable-TradeNet,6339.18,,,2024,Annual
Total Receivables Net ,TotalReceivablesNet,9744.56,,,2024,Annual
Total Inventory ,TotalInventory,49157.51,,,2024,Annual
Other Current Assets Total ,OtherCurrentAssetsTotal,3834.11,,,2024,Annual
Total Current Assets ,TotalCurrentAssets,70548.24,,,2024,Annual
Property/ Plant/ Equipment Total- Gross ,Property/Plant/EquipmentTotal-Gross,231253.57,,,2024,Annual
Accumulated Depreciation Total ,AccumulatedDepreciationTotal,-100129.54,,,2024,Annual
Property/ Plant/ Equipment Total- Net ,Property/Plant/EquipmentTotal-Net,164494.22,,,2024,Annual
Goodwill Net ,GoodwillNet,5745.30,,,2024,Annual
Intangibles Net ,IntangiblesNet,12930.39,,,2024,Annual
Long Term Investments ,LongTermInvestments,5526.35,,,2024,Annual
Note Receivable- Long Term ,NoteReceivable-LongTerm,9142.23,,,2024,Annual
Other Long Term Assets Total ,OtherLongTermAssetsTotal,5036.77,,,2024,Annual
Total Assets ,TotalAssets,273423.50,,,2024,Annual
Accounts Payable ,AccountsPayable,35434.66,,,2024,Annual
Accrued Expenses ,AccruedExpenses,1001.67,,,2024,Annual
Notes Payable/ Short Term Debt ,NotesPayable/ShortTermDebt,0.00,,,2024,Annual
Current Portof LT Debt/ Capital Leases ,CurrentPortofLTDebt/CapitalLeases,30966.69,,,2024,Annual
Other Currentliabilities Total ,OtherCurrentliabilitiesTotal,31000.46,,,2024,Annual
Total Current Liabilities ,TotalCurrentLiabilities,98403.48,,,2024,Annual
Long Term Debt ,LongTermDebt,51576.73,,,2024,Annual
Capital Lease Obligations ,CapitalLeaseObligations,4538.70,,,2024,Annual
Total Long Term Debt ,TotalLongTermDebt,56115.43,,,2024,Annual
Total Debt ,TotalDebt,87082.12,,,2024,Annual
Deferred Income Tax ,DeferredIncomeTax,12992.34,,,2024,Annual
Minority Interest ,MinorityInterest,396.98,,,2024,Annual
Other Liabilities Total ,OtherLiabilitiesTotal,13479.51,,,2024,Annual
Total Liabilities ,TotalLiabilities,181387.74,,,2024,Annual
Common Stock Total ,CommonStockTotal,1247.19,,,2024,Annual
Additional Paid- In Capital ,AdditionalPaid-InCapital,31288.33,,,2024,Annual
Retained Earnings( Accumulated Deficit) ,RetainedEarnings(AccumulatedDeficit),52791.26,,,2024,Annual
Unrealized Gain( Loss) ,UnrealizedGain(Loss),1610.09,,,2024,Annual
Other Equity Total ,OtherEquityTotal,5098.89,,,2024,Annual
Total Equity ,TotalEquity,92035.76,,,2024,Annual
Total Liabilities Shareholders' Equity ,TotalLiabilitiesShareholders'Equity,273423.50,,,2024,Annual
Total Common Shares Outstanding ,TotalCommonSharesOutstanding,1247.18,,,2024,Annual
Tangible Book Valueper Share Common Eq ,TangibleBookValueperShareCommonEq,58.82,,,2024,Annual
period Length ,periodLength,0.00,,,2024,Annual
